iter	Passed	Remaining
0	52	52590
1	54	27048
2	55	18478
3	56	14151
4	57	11536
5	59	9807
6	60	8571
7	61	7640
8	63	6938
9	64	6353
10	67	6073
11	69	5683
12	70	5355
13	74	5269
14	76	4999
15	77	4759
16	78	4548
17	80	4391
18	81	4212
19	83	4074
20	84	3940
21	85	3811
22	87	3705
23	88	3596
24	89	3495
25	90	3402
26	91	3313
27	93	3229
28	94	3154
29	95	3085
30	96	3020
31	98	2970
32	99	2918
33	100	2865
34	101	2811
35	103	2762
36	104	2713
37	105	2668
38	106	2625
39	107	2585
40	108	2547
41	110	2514
42	111	2484
43	113	2462
44	114	2435
45	115	2404
46	117	2372
47	118	2342
48	119	2313
49	120	2287
50	121	2262
51	122	2235
52	123	2212
53	125	2190
54	126	2173
55	128	2159
56	129	2146
57	131	2128
58	132	2109
59	133	2090
60	134	2072
61	135	2053
62	136	2034
63	137	2016
64	139	2004
65	140	1989
66	141	1974
67	143	1964
68	144	1950
69	145	1937
70	146	1922
71	147	1907
72	149	1893
73	150	1879
74	151	1865
75	152	1851
76	153	1839
77	154	1827
78	156	1823
79	158	1817
80	159	1807
81	160	1797
82	161	1785
83	162	1774
84	163	1763
85	164	1752
86	166	1742
87	167	1731
88	168	1721
89	169	1712
90	171	1709
91	172	1704
92	174	1697
93	175	1689
94	177	1688
95	178	1681
96	179	1673
97	180	1665
98	182	1657
99	183	1649
100	184	1641
101	185	1633
102	186	1626
103	188	1619
104	189	1612
105	190	1605
106	191	1600
107	193	1595
108	194	1589
109	195	1583
110	196	1576
111	198	1571
112	199	1564
113	200	1558
114	201	1553
115	203	1551
116	205	1547
117	206	1542
118	207	1538
119	209	1533
120	210	1528
121	211	1522
122	212	1516
123	213	1511
124	215	1505
125	216	1500
126	217	1495
127	219	1492
128	221	1494
129	222	1489
130	223	1484
131	224	1479
132	226	1474
133	227	1468
134	228	1463
135	229	1458
136	231	1455
137	232	1451
138	233	1448
139	234	1443
140	236	1438
141	237	1433
142	238	1428
143	239	1424
144	240	1418
145	241	1413
146	242	1408
147	243	1403
148	245	1399
149	246	1394
150	247	1390
151	248	1388
152	250	1385
153	251	1381
154	252	1376
155	253	1372
156	254	1368
157	255	1363
158	256	1359
159	258	1354
160	259	1350
161	260	1346
162	261	1342
163	262	1338
164	264	1337
165	265	1334
166	266	1330
167	267	1326
168	268	1322
169	270	1318
170	271	1314
171	272	1310
172	273	1306
173	274	1303
174	275	1299
175	276	1296
176	278	1294
177	280	1293
178	281	1290
179	282	1287
180	283	1283
181	284	1280
182	286	1276
183	287	1273
184	288	1269
185	289	1266
186	290	1264
187	292	1262
188	293	1260
189	295	1258
190	296	1255
191	297	1251
192	298	1248
193	299	1245
194	300	1241
195	301	1238
196	302	1234
197	303	1231
198	305	1227
199	306	1224
200	307	1221
201	308	1218
202	309	1216
203	311	1214
204	312	1212
205	313	1209
206	314	1206
207	316	1203
208	317	1200
209	318	1197
210	319	1194
211	320	1191
212	321	1188
213	323	1188
214	325	1187
215	326	1185
216	327	1182
217	328	1179
218	329	1176
219	331	1173
220	332	1170
221	333	1167
222	334	1164
223	335	1161
224	336	1159
225	337	1156
226	339	1154
227	340	1153
228	342	1151
229	343	1149
230	344	1146
231	345	1143
232	346	1140
233	347	1138
234	348	1135
235	349	1132
236	350	1129
237	352	1127
238	354	1127
239	355	1126
240	357	1124
241	358	1122
242	359	1119
243	360	1117
244	361	1115
245	362	1112
246	364	1110
247	365	1107
248	366	1105
249	367	1103
250	368	1100
251	370	1099
252	371	1097
253	373	1095
254	374	1093
255	375	1090
256	376	1088
257	377	1086
258	379	1084
259	380	1082
260	381	1080
261	382	1077
262	383	1075
263	385	1073
264	386	1072
265	388	1071
266	389	1068
267	390	1067
268	391	1065
269	393	1063
270	394	1061
271	395	1059
272	396	1056
273	398	1054
274	402	1060
275	403	1058
276	404	1056
277	406	1054
278	407	1052
279	408	1050
280	409	1048
281	410	1045
282	411	1043
283	413	1041
284	415	1041
285	417	1041
286	418	1039
287	419	1037
288	420	1035
289	421	1033
290	423	1031
291	424	1028
292	425	1026
293	426	1024
294	427	1022
295	428	1020
296	430	1018
297	431	1015
298	432	1013
299	433	1012
300	435	1010
301	436	1009
302	448	1031
303	451	1032
304	453	1034
305	456	1035
306	458	1035
307	461	1036
308	463	1037
309	466	1037
310	469	1039
311	471	1040
312	475	1042
313	477	1043
314	480	1044
315	483	1047
316	486	1047
317	490	1051
318	492	1051
319	496	1054
320	501	1060
321	503	1061
322	507	1063
323	509	1063
324	512	1064
325	520	1076
326	523	1077
327	525	1077
328	528	1078
329	535	1086
330	538	1087
331	541	1090
332	544	1090
333	548	1093
334	551	1093
335	554	1096
336	557	1097
337	565	1106
338	567	1107
339	570	1107
340	573	1108
341	581	1119
342	584	1120
343	587	1120
344	590	1121
345	594	1123
346	596	1123
347	598	1122
348	601	1122
349	604	1122
350	610	1129
351	613	1129
352	616	1130
353	619	1130
354	625	1136
355	628	1136
356	631	1138
357	634	1138
358	638	1139
359	641	1139
360	643	1138
361	645	1137
362	648	1137
363	651	1137
364	657	1144
365	660	1143
366	662	1143
367	665	1142
368	671	1148
369	674	1147
370	677	1147
371	682	1152
372	685	1152
373	687	1151
374	694	1157
375	696	1156
376	699	1155
377	701	1155
378	704	1154
379	707	1155
380	711	1155
381	716	1159
382	721	1162
383	724	1162
384	727	1161
385	730	1162
386	734	1163
387	737	1162
388	741	1165
389	744	1164
390	749	1167
391	752	1167
392	756	1168
393	765	1177
394	768	1177
395	771	1177
396	774	1176
397	777	1175
398	779	1174
399	782	1173
400	785	1173
